shop_id,name,lat,lng,image_id,image_file,qr_id,qr_image,area,short_desc,strength,recommend,target,duration,crowd,shop_url,access,business_hours,closed,article,category
S001,cornology,35.30883,139.48281,IMG001,img001.jpg,QR001,qr001.png,片瀬海岸,グルメポップコーン専門店,カリフォルニア発祥本格ポップコーン,キャラメルポップコーン,カップル・女性客・観光客,30〜45分,やや混雑,https://cornology.jp/,小田急江ノ島線「片瀬江ノ島」駅より徒歩約3分,11:00-16:00,月曜・火曜（祝日の場合は営業）,【cornology】は、片瀬海岸エリアにあるグルメポップコーン専門店です。最大の特徴は「カリフォルニア発祥本格ポップコーン」で、訪れた際にはぜひキャラメルポップコーンをお試しください。,カフェ
S002,KOINOBORI,35.31012,139.48623,IMG002,img002.jpg,QR002,qr002.png,片瀬海岸,湘南の海を感じるカフェ,地元食材を使ったメニュー,しらすピザ,観光客・食べ歩き利用,15〜20分,やや混雑,https://www.instagram.com/koinobori_shonan/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【KOINOBORI】は、片瀬海岸エリアにある湘南の海を感じるカフェです。最大の特徴は「地元食材を使ったメニュー」で、訪れた際にはぜひしらすピザをお試しください。,食べ歩き
S003,あさひ本店,35.30132,139.48065,IMG003,img003.jpg,QR003,qr003.png,江の島,丸焼きたこせんべいの超人気店,目の前でプレスする熱々のたこせんべい,丸焼きたこせんべい,観光客・食べ歩き利用,10〜15分,混雑しやすい,https://murasaki-imo.com/,江の島弁財天仲見世通り周辺（公式サイト要確認）,公式URL要確認,公式サイトのお知らせで要確認,【あさひ本店】は、江の島エリアにある丸焼きたこせんべいの超人気店です。最大の特徴は「目の前でプレスする熱々のたこせんべい」で、訪れた際にはぜひ丸焼きたこせんべいをお試しください。,土産
S004,湘南しらす天,35.30154,139.48082,IMG004,img004.jpg,QR004,qr004.png,江の島,食べ歩きにぴったりのしらす天,湘南名物しらすを手軽に味わえる,しらす天,観光客・食べ歩き利用,15〜20分,やや混雑,https://amami.sakura.ne.jp/,江の島島内（公式サイト要確認）,10:00-19:00,年中無休,【湘南しらす天】は、江の島エリアにある食べ歩きにぴったりのしらす天です。最大の特徴は「湘南名物しらすを手軽に味わえる」で、訪れた際にはぜひしらす天をお試しください。,食べ歩き
S005,江ノ島プリン,35.30948,139.48512,IMG005,img005.jpg,QR005,qr005.png,片瀬海岸,江ノ島名物のなめらかプリン,大麦を使った香ばしい特製プリン,江ノ島プリン,観光客・ファミリー,20〜40分,混雑しやすい,https://enoshima-pudding.com/,江ノ島電鉄「江ノ島駅」徒歩4分／小田急江ノ島線「片瀬江ノ島駅」徒歩4分／湘南モノレール「湘南江の島駅」徒歩5分,10:00-17:00（夏季は17:30まで）,火曜日,【江ノ島プリン】は、片瀬海岸エリアにある江ノ島名物のなめらかプリンです。最大の特徴は「大麦を使った香ばしい特製プリン」で、訪れた際にはぜひ江ノ島プリンをお試しください。,観光
S006,井上総本舗,35.30121,139.48066,IMG006,img006.jpg,QR006,qr006.png,江の島,老舗の和菓子店,アイス最中と女夫まんじゅう,アイス最中,観光客・ファミリー,20〜40分,普通,http://www.cityfujisawa.ne.jp/~hi-ho/newpage1.htm,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【井上総本舗】は、江の島エリアにある老舗の和菓子店です。最大の特徴は「アイス最中と女夫まんじゅう」で、訪れた際にはぜひアイス最中をお試しください。,観光
S007,紀の国屋本店,35.30105,139.48053,IMG007,img007.jpg,QR007,qr007.png,江の島,女夫まんじゅうの老舗,蒸したての温かいおまんじゅう,女夫まんじゅう,観光客・お土産購入,15〜20分,普通,https://tabelog.com/kanagawa/A1404/A140403/14004847/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【紀の国屋本店】は、江の島エリアにある女夫まんじゅうの老舗です。最大の特徴は「蒸したての温かいおまんじゅう」で、訪れた際にはぜひ女夫まんじゅうをお試しください。,土産
S008,とびっちょ,35.30182,139.48128,IMG008,img008.jpg,QR008,qr008.png,江の島,しらす問屋の人気食堂,鮮度抜群の生しらす,生しらす丼,ファミリー・観光客・海鮮ランチ利用,45〜60分,混雑しやすい,http://tobiccho.com/shops/tobiccho,江の島弁財天仲見世通り周辺（公式サイト要確認）,公式URL要確認,公式URL要確認,【とびっちょ】は、江の島エリアにあるしらす問屋の人気食堂です。最大の特徴は「鮮度抜群の生しらす」で、訪れた際にはぜひ生しらす丼をお試しください。,観光
S009,湘南デニムストリート,35.30115,139.48056,IMG009,img009.jpg,QR009,qr009.png,江の島,デニム製品と青いグルメの店,SNS映えするデニムまん,デニムまん,観光客・ファミリー,20〜40分,普通,https://x.com/SHONANDENIM?t=s4eaUoRlb2X-uHzaEOsLww&s=09,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【湘南デニムストリート】は、江の島エリアにあるデニム製品と青いグルメの店です。最大の特徴は「SNS映えするデニムまん」で、訪れた際にはぜひデニムまんをお試しください。,観光
S010,江ノ島スパ売店,35.30211,139.48003,IMG010,img010.jpg,QR010,qr010.png,江の島,えのすぱ併設のギフトショップ,湘南の特産品やリラックスグッズ,湘南コスメ,観光客・日帰り温浴利用,30〜60分,混雑しやすい,https://www.enospa.jp/,江の島島内（江の島アイランドスパ内）,施設・店舗ごとに異なるため公式URL要確認,施設メンテナンス日あり・公式URL要確認,【江ノ島スパ売店】は、江の島エリアにあるえのすぱ併設のギフトショップです。最大の特徴は「湘南の特産品やリラックスグッズ」で、訪れた際にはぜひ湘南コスメをお試しください。,観光
S011,セイのシャーベット,35.29906,139.47954,IMG011,img011.jpg,QR011,qr011.png,江の島,手作りシャーベットの店,果実味あふれるさっぱりスイーツ,湘南ゴールドシャーベット,観光客・ファミリー,20〜40分,普通,https://tabelog.com/kanagawa/A1404/A140403/14029135/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【セイのシャーベット】は、江の島エリアにある手作りシャーベットの店です。最大の特徴は「果実味あふれるさっぱりスイーツ」で、訪れた際にはぜひ湘南ゴールドシャーベットをお試しください。,観光
S012,江ノ島ジェラート,35.30058,139.48011,IMG012,img012.jpg,QR012,qr012.png,江の島,本格イタリアンジェラート,地元の素材を使った濃厚ジェラート,しらすジェラート,カップル・ファミリー・観光客,15〜20分,やや混雑,https://www.instagram.com/themarketse1/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【江ノ島ジェラート】は、江の島エリアにある本格イタリアンジェラートです。最大の特徴は「地元の素材を使った濃厚ジェラート」で、訪れた際にはぜひしらすジェラートをお試しください。,スイーツ
S013,湘南パンケーキ,35.30901,139.48405,IMG013,img013.jpg,QR013,qr013.png,片瀬海岸,ふわふわパンケーキのカフェ,リコッタチーズたっぷり,湘南パンケーキ,カップル・ファミリー・観光客,15〜20分,やや混雑,https://www.enoshimapancake.com/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【湘南パンケーキ】は、片瀬海岸エリアにあるふわふわパンケーキのカフェです。最大の特徴は「リコッタチーズたっぷり」で、訪れた際にはぜひ湘南パンケーキをお試しください。,スイーツ
S014,Cafe Madu,35.29851,139.47806,IMG014,img014.jpg,QR014,qr014.png,江の島,絶景を楽しめる丘の上のカフェ,相模湾を一望できるテラス,ガレット,カップル・女性客・観光客,30〜45分,やや混雑,https://a811702.gorp.jp/,小田急江ノ島線「片瀬江ノ島駅」徒歩22分／江ノ島電鉄線「江ノ島駅」徒歩25分,11:00-18:00（L.O.17:30）／土日祝10:00-19:00,不定休,【Cafe Madu】は、江の島エリアにある絶景を楽しめる丘の上のカフェです。最大の特徴は「相模湾を一望できるテラス」で、訪れた際にはぜひガレットをお試しください。,カフェ
S015,しらすソフト,35.30155,139.48058,IMG015,img015.jpg,QR015,qr015.png,江の島,変わり種ご当地ソフト,ソフトクリームに釜揚げしらす,しらすソフトクリーム,観光客・食べ歩き利用,15〜20分,やや混雑,https://www.instagram.com/popular/%E6%B1%9F%E3%83%8E%E5%B3%B6-%E3%81%97%E3%82%89%E3%81%99%E3%82%BD%E3%83%95%E3%83%88/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【しらすソフト】は、江の島エリアにある変わり種ご当地ソフトです。最大の特徴は「ソフトクリームに釜揚げしらす」で、訪れた際にはぜひしらすソフトクリームをお試しください。,食べ歩き
S016,江ノ島かき氷,35.30089,139.48021,IMG016,img016.jpg,QR016,qr016.png,江の島,大人気のかき氷専門店,ふわふわの氷と自家製シロップ,宇治金時,カップル・ファミリー・観光客,15〜20分,やや混雑,https://www.instagram.com/enoshima_kakigo_ri_hanabi/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【江ノ島かき氷】は、江の島エリアにある大人気のかき氷専門店です。最大の特徴は「ふわふわの氷と自家製シロップ」で、訪れた際にはぜひ宇治金時をお試しください。,スイーツ
S017,PICOジェラート,35.30857,139.48356,IMG017,img017.jpg,QR017,qr017.png,片瀬海岸,イタリアンレストラン併設,本格ピッツェリアが作るデザート,ピスタチオジェラート,カップル・ファミリー・観光客,15〜20分,やや混雑,https://www.pico-enoshima.co.jp/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【PICOジェラート】は、片瀬海岸エリアにあるイタリアンレストラン併設です。最大の特徴は「本格ピッツェリアが作るデザート」で、訪れた際にはぜひピスタチオジェラートをお試しください。,スイーツ
S018,江ノ島チーズケーキ,35.30129,139.48002,IMG018,img018.jpg,QR018,qr018.png,江の島,お土産に人気のチーズケーキ,濃厚でしっとりとした味わい,プレーンチーズケーキ,カップル・ファミリー・観光客,15〜20分,やや混雑,https://www.instagram.com/cakefuuenosima2025/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【江ノ島チーズケーキ】は、江の島エリアにあるお土産に人気のチーズケーキです。最大の特徴は「濃厚でしっとりとした味わい」で、訪れた際にはぜひプレーンチーズケーキをお試しください。,スイーツ
S019,Cafe Living Room,35.29958,139.48103,IMG019,img019.jpg,QR019,qr019.png,江の島,隠れ家的なリラックスカフェ,リビングのようにくつろげる空間,自家焙煎コーヒー,カップル・女性客・観光客,30〜45分,やや混雑,https://www.instagram.com/cafe_livingroom/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【Cafe Living Room】は、江の島エリアにある隠れ家的なリラックスカフェです。最大の特徴は「リビングのようにくつろげる空間」で、訪れた際にはぜひ自家焙煎コーヒーをお試しください。,カフェ
S020,波乗りコーヒー,35.30805,139.48502,IMG020,img020.jpg,QR020,qr020.png,片瀬海岸,サーファー御用達のスタンド,海上がりに飲みたいこだわりの一杯,ドリップコーヒー,カップル・女性客・観光客,30〜45分,やや混雑,https://www.instagram.com/naminoricoffeeroastery/?hl=ja,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【波乗りコーヒー】は、片瀬海岸エリアにあるサーファー御用達のスタンドです。最大の特徴は「海上がりに飲みたいこだわりの一杯」で、訪れた際にはぜひドリップコーヒーをお試しください。,カフェ
S021,Pacific DRIVE-IN,35.30554,139.50807,IMG021,img021.jpg,QR021,qr021.png,七里ヶ浜,ハワイアンプレートの絶景カフェ,江の島を一望できるビュー,ガーリックシュリンプ,ファミリー・カップル・観光客,45〜60分,混雑しやすい,https://pacificdrivein.com/,江ノ電「七里ヶ浜駅」徒歩3分,8:00-20:00（L.O.19:00）／11月〜2月末は平日10:00-20:00・土日祝8:00-20:00,不定休,【Pacific DRIVE-IN】は、七里ヶ浜エリアにあるハワイアンプレートの絶景カフェです。最大の特徴は「江の島を一望できるビュー」で、訪れた際にはぜひガーリックシュリンプをお試しください。,レストラン
S022,LON CAFE,35.29918,139.47986,IMG022,img022.jpg,QR022,qr022.png,江の島,フレンチトースト専門店,サムエル・コッキング苑内の絶景,フレンチトースト,カップル・女性客・観光客,30〜45分,混雑しやすい,https://www.instagram.com/loncafe/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【LON CAFE】は、江の島エリアにあるフレンチトースト専門店です。最大の特徴は「サムエル・コッキング苑内の絶景」で、訪れた際にはぜひフレンチトーストをお試しください。,カフェ
S023,DIEGO BY THE RIVER,35.31056,139.48688,IMG023,img023.jpg,QR023,qr023.png,片瀬海岸,川沿いのお洒落なダイナー,境川を眺めながら楽しむアメリカン,ハンバーガー,観光客・ファミリー,20〜40分,普通,https://www.instagram.com/diegobytheriver/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【DIEGO BY THE RIVER】は、片瀬海岸エリアにある川沿いのお洒落なダイナーです。最大の特徴は「境川を眺めながら楽しむアメリカン」で、訪れた際にはぜひハンバーガーをお試しください。,観光
S024,Cafe Madu 江ノ島,35.29851,139.47806,IMG024,img024.jpg,QR024,qr024.png,江の島,海を見下ろすクレープリー,素晴らしい眺望,コンプレット,カップル・女性客・観光客,30〜45分,やや混雑,https://www.instagram.com/cafemadu_enoshima/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【Cafe Madu 江ノ島】は、江の島エリアにある海を見下ろすクレープリーです。最大の特徴は「素晴らしい眺望」で、訪れた際にはぜひコンプレットをお試しください。,カフェ
S025,江ノ島88カフェ,35.30005,139.48006,IMG025,img025.jpg,QR025,qr025.png,江の島,休憩にぴったりの島内カフェ,ホッと一息つける空間,特製パフェ,カップル・女性客・観光客,30〜45分,やや混雑,https://www.instagram.com/enoshima_dining88/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【江ノ島88カフェ】は、江の島エリアにある休憩にぴったりの島内カフェです。最大の特徴は「ホッと一息つける空間」で、訪れた際にはぜひ特製パフェをお試しください。,カフェ
S026,GARB 江ノ島,35.30825,139.48301,IMG026,img026.jpg,QR026,qr026.png,片瀬海岸,海沿いの大型イタリアン,テラス席で潮風を感じる,窯焼きピッツァ,ファミリー・カップル・観光客,45〜60分,やや混雑,https://garb-enoshima.com/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【GARB 江ノ島】は、片瀬海岸エリアにある海沿いの大型イタリアンです。最大の特徴は「テラス席で潮風を感じる」で、訪れた際にはぜひ窯焼きピッツァをお試しください。,レストラン
S027,扇屋,35.31154,139.48705,IMG027,img027.jpg,QR027,qr027.png,江ノ電沿線,江ノ電もなかで有名な和菓子店,店先に本物の江ノ電車両,江ノ電もなか,観光客・ファミリー,20〜40分,普通,https://ogiya-enoshima.studio.site/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【扇屋】は、江ノ電沿線エリアにある江ノ電もなかで有名な和菓子店です。最大の特徴は「店先に本物の江ノ電車両」で、訪れた際にはぜひ江ノ電もなかをお試しください。,観光
S028,玉屋本店,35.31102,139.48753,IMG028,img028.jpg,QR028,qr028.png,江ノ島駅,老舗の羊羹・和菓子店,伝統の製法で作る和菓子,本煉羊羹,観光客・お土産購入,15〜20分,普通,http://www.tamaya-honten.com/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【玉屋本店】は、江ノ島駅エリアにある老舗の羊羹・和菓子店です。最大の特徴は「伝統の製法で作る和菓子」で、訪れた際にはぜひ本煉羊羹をお試しください。,土産
S029,江ノ島ガラス工房,35.30055,139.48005,IMG029,img029.jpg,QR029,qr029.png,江の島,ガラス細工の体験と販売,オリジナルグラス作り体験,吹きガラス体験,ファミリー・カップル・体験利用,30〜60分,普通,https://hook.ocnk.net/info,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【江ノ島ガラス工房】は、江の島エリアにあるガラス細工の体験と販売です。最大の特徴は「オリジナルグラス作り体験」で、訪れた際にはぜひ吹きガラス体験をお試しください。,体験
S030,湘南キャンドル,35.29952,139.47958,IMG030,img030.jpg,QR030,qr030.png,江の島,手作りキャンドルの店,海をモチーフにしたキャンドル,ジェルキャンドル,ファミリー・カップル・体験利用,30〜60分,普通,https://enoshima-seacandle.com/event/shonan-candle/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【湘南キャンドル】は、江の島エリアにある手作りキャンドルの店です。最大の特徴は「海をモチーフにしたキャンドル」で、訪れた際にはぜひジェルキャンドルをお試しください。,体験
S031,湘南アクセサリー,35.30953,139.48602,IMG031,img031.jpg,QR031,qr031.png,片瀬海岸,ハワイアンジュエリー,ハンドメイドアクセサリー,シェルネックレス,観光客・お土産購入,15〜20分,普通,https://www.instagram.com/pinksunset_official/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【湘南アクセサリー】は、片瀬海岸エリアにあるハワイアンジュエリーです。最大の特徴は「ハンドメイドアクセサリー」で、訪れた際にはぜひシェルネックレスをお試しください。,土産
S032,湘南クラフト,35.30908,139.48651,IMG032,img032.jpg,QR032,qr032.png,片瀬海岸,クリエイター作品が集まる雑貨店,一点もの雑貨,ポストカード,ファミリー・カップル・体験利用,30〜60分,普通,https://www.instagram.com/p/DW77hKlE1Rg/,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,公式SNS・掲載ページ要確認,【湘南クラフト】は、片瀬海岸エリアにあるクリエイター作品が集まる雑貨店です。最大の特徴は「一点もの雑貨」で、訪れた際にはぜひポストカードをお試しください。,体験
S033,しらす煎餅本舗,35.30126,139.48068,IMG033,img033.jpg,QR033,qr033.png,江の島,しらすを使ったおせんべい,日持ちする湘南土産,湘南しらすせんべい,観光客・食べ歩き利用,15〜20分,やや混雑,http://www.cityfujisawa.ne.jp/~hi-ho/newpage1.htm,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【しらす煎餅本舗】は、江の島エリアにあるしらすを使ったおせんべいです。最大の特徴は「日持ちする湘南土産」で、訪れた際にはぜひ湘南しらすせんべいをお試しください。,食べ歩き
S034,とびっちょ本店,35.30191,139.48155,IMG034,img034.jpg,QR034,qr034.png,江の島,江の島を代表するしらす料理店,ボリューム満点のしらす丼,とびっちょ丼,観光客・お土産購入,15〜20分,混雑しやすい,http://tobiccho.com/shops/tobiccho,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【とびっちょ本店】は、江の島エリアにある江の島を代表するしらす料理店です。最大の特徴は「ボリューム満点のしらす丼」で、訪れた際にはぜひとびっちょ丼をお試しください。,土産
S035,魚見亭,35.29758,139.47702,IMG035,img035.jpg,QR035,qr035.png,江の島,創業140年の絶景海鮮食堂,テラス席の目の前に広がる大海原,江ノ島丼,ファミリー・カップル・観光客,45〜60分,混雑しやすい,https://enoshima-uomitei.com/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【魚見亭】は、江の島エリアにある創業140年の絶景海鮮食堂です。最大の特徴は「テラス席の目の前に広がる大海原」で、訪れた際にはぜひ江ノ島丼をお試しください。,レストラン
S036,見晴亭,35.29802,139.47754,IMG036,img036.jpg,QR036,qr036.png,江の島,稚児ヶ淵へ下る途中にある食事処,富士山と相模湾を一望できる座敷,焼き蛤,ファミリー・カップル・観光客,45〜60分,やや混雑,https://enokama.jp/spot/1097/,小田急「片瀬江ノ島駅」徒歩19分／江ノ電「江ノ島駅」徒歩25分／湘南モノレール「湘南江の島駅」徒歩26分,11:00-17:00（L.O.16:30）,不定休,【見晴亭】は、江の島エリアにある稚児ヶ淵へ下る途中にある食事処です。最大の特徴は「富士山と相模湾を一望できる座敷」で、訪れた際にはぜひ焼き蛤をお試しください。,レストラン
S037,江ノ島小屋,35.30865,139.48182,IMG037,img037.jpg,QR037,qr037.png,片瀬海岸,海鮮料理が自慢の網元直営食堂,漁港のそばで食べる新鮮な魚介,まかない丼,ファミリー・カップル・観光客,45〜60分,混雑しやすい,http://enoshima-koya.com/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【江ノ島小屋】は、片瀬海岸エリアにある海鮮料理が自慢の網元直営食堂です。最大の特徴は「漁港のそばで食べる新鮮な魚介」で、訪れた際にはぜひまかない丼をお試しください。,レストラン
S038,龍口寺,35.31256,139.48805,IMG038,img038.jpg,QR038,qr038.png,江ノ島駅,日蓮宗の本山,立派な五重塔と静寂,五重塔,観光客・歴史散策,20〜40分,普通,https://ryuukoji.com/,龍口寺公式サイトのアクセスページ要確認,参拝時間は公式URL要確認,公式URL要確認,【龍口寺】は、江ノ島駅エリアにある日蓮宗の本山です。最大の特徴は「立派な五重塔と静寂」で、訪れた際にはぜひ五重塔をお試しください。,観光
S039,江島神社,35.30062,139.48033,IMG039,img039.jpg,QR039,qr039.png,江の島,日本三大弁財天の一つ,三社からなるパワースポット,銭洗白龍王,観光客・ファミリー,20〜40分,混雑しやすい,http://enoshimajinja.or.jp/,片瀬江ノ島駅・江ノ島駅から徒歩圏内（詳細は公式URL要確認）,公式URL要確認,公式URL要確認,【江島神社】は、江の島エリアにある日本三大弁財天の一つです。最大の特徴は「三社からなるパワースポット」で、訪れた際にはぜひ銭洗白龍王をお試しください。,観光
S040,片瀬海岸,35.30755,139.48455,IMG040,img040.jpg,QR040,qr040.png,片瀬海岸,湘南を代表するビーチ,海水浴やサーフィン,サンセット,観光客・海岸散策,20〜60分,季節により混雑,https://www.fujisawa-kanko.jp/spot/katase_kugenuma/11.html,片瀬東浜海水浴場周辺（藤沢市観光公式サイト要確認）,屋外スポットのため営業時間なし,なし（天候・季節により利用状況変動）,【片瀬海岸】は、片瀬海岸エリアにある湘南を代表するビーチです。最大の特徴は「海水浴やサーフィン」で、訪れた際にはぜひサンセットをお試しください。,観光
